
path = /Users/lap13494/workspace/ppl-extra-final/java-small/test/hadoop-splitted/DomainSocket_available_0.java
method_name = available
method_body = public int available() throws IOException { refCount.reference(); boolean exc = true; try { int nAvailable = DomainSocket.available0(DomainSocket.this.fd); exc = false; return nAvailable; } finally { unreference(exc); } }
predict, score, loss = available, 0.9619912505149841, 0.10876625776290894

Trace of simplified code(s):
{"time": "2023-09-24 00:06:00.614923", "score": "0.962", "loss": "0.1088", "code": "public int available() throws IOException { refCount.reference(); boolean exc = true; try { int nAvailable = DomainSocket.available0(DomainSocket.this.fd); exc = false; return nAvailable; } finally { unreference(exc); } }", "n_tokens": 80, "n_pass": [1, 1, 1]}
{"time": "2023-09-24 00:06:48.912634", "score": "0.9502", "loss": "0.1383", "code": "int available()throws IOException{reference();try{DomainSocket.available0();}finally {; } }", "n_tokens": 31, "n_pass": [237, 25, 18]}
{"time": "2023-09-24 00:06:50.537658", "score": "0.9502", "loss": "0.1383", "code": "int available()throws IOException{reference();try{DomainSocket.available0();}finally{; } }", "n_tokens": 30, "n_pass": [239, 26, 19]}
{"time": "2023-09-24 00:06:52.287446", "score": "0.9502", "loss": "0.1383", "code": "int available()throws IOException{reference();try{DomainSocket.available0();}finally{ } }", "n_tokens": 29, "n_pass": [241, 27, 20]}
{"time": "2023-09-24 00:06:54.063714", "score": "0.9502", "loss": "0.1383", "code": "int available()throws IOException{reference();try{DomainSocket.available0();}finally{} }", "n_tokens": 28, "n_pass": [242, 28, 21]}
{"time": "2023-09-24 00:06:55.915624", "score": "0.9502", "loss": "0.1383", "code": "int available()throws IOException{reference();try{DomainSocket.available0();}finally{}}", "n_tokens": 27, "n_pass": [244, 29, 22]}
{"time": "2023-09-24 00:06:59.938807", "score": "0.9502", "loss": "0.1383", "code": "int available()throws IOException{reference();try{DomainSocket.available();}finally{}}", "n_tokens": 26, "n_pass": [264, 31, 23]}

Minimal simplified code:
int available()throws IOException{reference();try{DomainSocket.available();}finally{}}

